chemical_name,synonyms,un_number,chris code,molecular_formula,appearance,specific_gravity,chemical_family,boiling_point,freezing_point,vapor_pressure (mmHg),reid vapor pressure,vapor_density,water_solubility,fire_grade,electrical_group,flash_point (F),flammable_limits,autoignition_temperature,fire_extinguishing_agent,special_fire_procedures,unusual_fire_explosion_hazards,health_hazard_rating,odor_threshold,permissible_exposure_limit,threshold_limit_value,symptoms,short_term_exposure,long_term_exposure,personal_protection,first_aid,stability,incompatibility,hazardous_decomposition_products,hazardous_polymerization,cargo_group,spill_or_leak_procedure,remarks,general_note,extraction_note,page_number,source,NOTE
TOLUENE DIISOCYANATE,"Benzene, 1,3-diisocyanatomethyl-; 2,4-Diisocyanatotoluene; TDI; 2,4-Toluene diisocyanate; Toluene-2,4-diisocyanate; 2,4-Tolulene diisocyanate; 2,4-Tolylene diisocyanate; m-Tolylene diisocyanate",,,H3CC6H3(NCO)2,"Clear, faintly yellow liquid; strong pungent odor",1.21,Aromatic isocyanate,251°C 484°F,19°C 57°F,Low,Low,6,Reacts,E: Combustible liquid,D,270,0.9 to 9.5%,above 300,"CO2, dry chemical, water fog",Provide firefighters with full body and respiratory protection. Do not allow water to get into a tank of toluene diisocyanate.,Highly toxic nitrogen dioxide gas is produced when this product burns.,"3,3,4",0.4,0.005,0.005,"Burning at site of contact. Vapor inhalation causes intense irritation of nose and throat. Inhalation can also cause asthma-like symptoms, which may not appear for several hours after exposure.",0.5 ppm are irritating to nose and throat for brief exposures.,,,"Ingestion—do NOT induce vomiting. Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Oxygen, administered by trained personnel, is often helpful. Skin or eye contact—immediately flush affected parts gently with water while removing contaminated clothing. Continue to flush for 15 minutes. Get medical help promptly. See Medical Kit Information, Appendix B","Product will react with water and even the moisture in the air in excess of 100 ppm, evolving CO2 and heat. Can react violently with amines, alcohols and acids.","Stainless steel, nickel and aluminum are satisfactory construction materials. Avoid copper and copper alloys. Mild steel may be used if it is clean and entirely free of rust and moisture.",Carbon dioxide (on reaction with water/moisture).,,Group 12 of compatibility chart.,"Wear butyl rubber gloves, protective clothing, self-contained breathing apparatus, protective shoes. Avoid contact with the liquid. Keep unprotected personnel away from spill area. May mix with vermiculite, sodium bicarbonate, or sand. Pack in cardboard box and burn in open pit using crumpled paper and wood splinters as fuel. Wash site with soap solution. If a spill occurs, call the National Response Center, 800-424-8802.",,Suspected carcinogen. Liquid extremely harmful by skin absorption. Vapor inhalation severely irritating to nose and throat. Repeated exposure to low concentration can lead to respiratory problems and severe dermatitis.,,285,USCG Hazardous Chemical Data,
"1,2,4-TRICHLOROBENZENE","Trichlorobenzenes, liquid; unsym-Trichlorobenzene; 1,2,4-Trichlorobenzol",2321,TCB,C6H3Cl3,Colorless liquid; aromatic odor,1.45,Aromatic halocarbon,213°C 415°F,18°C 63°F,1,Low,6.26,Insoluble,E: Combustible liquid,D,230,1.3 to 7.1%,1180,"Carbon dioxide, dry chemical or foam",Water spray may be used to control small fires. Cool exposed tanks with water. Wear self-contained breathing apparatus.,Slight fire hazard when exposed to heat or flame. Gives off hydrogen chloride gas.,"1,1,2",3,5,5,"Repeated exposure can lead to liver, kidney, spleen damage. Coughing, watering eyes.","Animal studies have shown that 756 mg/kg killed 50% of the population, affecting the liver, kidney and spleen.",,,"Skin and eyes—flush affected areas with plenty of water. Vapor—remove victim to fresh air. If conscious, have victim take water or milk and induce vomiting if swallowed. Administer artificial respiration if necessary. Call a doctor.",Stable.,Most rubbers are not compatible,,,Group 36 of compatibility chart.,"Wear plastic gloves, self-contained breathing apparatus, protective clothing. Absorb spill with vermiculite, sodium bicarbonate, or soda ash-sand mixture (10-80). After absorption of spill the mixture may be packaged in cardboard containers and burned in an open pit. Wash site thoroughly with strong soap solution. If a spill occurs, call the National Response Center, 800-424-8802.",,"Moderately toxic by ingestion and inhalation, superficial burns to the skin.",UN Number printed as '321' (3 digits) in source text; standard 4-digit UN number 2321 used as best reading and flagged.,286,USCG Hazardous Chemical Data,
"1,1,1-TRICHLOROETHANE","Chlorothene; Ethane, 1,1,1-trichloro-; Methyl chloroform; 1,1,1-TCE",2831,TCE,CH3CCl3,"Colorless liquid; sweetish, chloroform-like odor",1.46,Halogenated compound,74°C 165°F,2°C 36°F,100,4,4.6,Negligible,None assigned.,D,Unavailable,7 to 16% (approximate value for flash described above),932,"Dry chemical, foam or CO2","Wear eye protection, self-contained breathing apparatus and protective clothing.","Does not burn readily but can produce a dangerous ""flash"" when vapors are exposed to a high-energy spark source in a confined space. When in contact with hot metal or a flame, methyl chloroform can decompose to form phosgene, which is highly toxic.","1,1,2",100,350,350,"Dizziness, headache, nausea, and drowsiness.",1500 ppm,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Begins to decompose at 350°F. May decompose to hydrogen chloride and other toxic products.,"The uninhibited grade is corrosive to aluminum, although the inhibited grade may be used with aluminum and any common construction metals at temperatures up to 175°F.",Hydrogen chloride (above 350°F).,,Group 36 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves and protective clothing. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.","* The commercial inhibited product has a boiling range of 160-190°F. ** Unregulated, Table 2, 46 CFR 153.",Vapor inhalation gives moderate irritation of air passages plus moderate narcotic effect. Prolonged or repeated skin contact may cause defatting of the skin and may produce dermatitis from daily contact.,,287,USCG Hazardous Chemical Data,
"1,1,2-TRICHLOROETHANE","Ethane trichloride; Ethane, 1,1,2-trichloro-; beta-T; 1,1,2-TCE; beta-Trichlorethane; Vinyl trichloride",,TCM,CH2ClCHCl2,"Colorless liquid; sweet, chloroform-like odor",1.43 at 25°C,Chlorinated hydrocarbon,114°C 237°F,-38°C -36°F,18.8,,4.55,0.45% at 20c,None assigned,D,None measurable due to low degree of combustibility,6 to 15.5%,Unavailable,"Dry chemical, foam, CO2",Cool exposed tanks with water. Provide respiratory protection for fire parties.,"Very low degree of flammability. Normally will not burn, but will in fire of other fuel or with strong initiator (large spark, welding torch), will give off toxic and irritating gases, including hydrogen chloride, chlorine, and/or phosgene.",Unavailable,Unavailable,10/Skin,10/Skin,"Eyes—irritation, discomfort, soreness. Skin—irritation. Inhalation—irritation, drowsiness, unconsciousness. Ingestion—headache, lassitude, coma.","Short term exposures near 2000 ppm cause central nervous system depression, distorts equilibrium",,,"Eye—flush with water for at least 15 minutes, call physician. Skin—wash with soap and water for at least 15 minutes. Inhalation—remove to fresh air, give oxygen or artificial respiration as needed. Ingestion—call physician.","Generally stable; decomposes when heated. Reacts with strong oxidizers, strong caustics, and active metals to cause fires and explosions.","Attacks some plastics, rubbers, coatings. Reacts with aluminum.",,,Group 36 of the compatibility chart,"Wear protective clothing, self-contained breathing apparatus, and full face shield. Stop release, dike spill, collect with inert absorbant, dispose in sanitary landfill. If a spill occurs, call the National Response Center, 800-424-8802.",† Unavailable,"Suspected carcinogen. Very toxic, much more so than 1,1,1-trichloroethane. Central nervous system depressant. Toxic to liver and kidneys. Prolonged or repeated skin contact may cause defatting of the skin and may produce dermatitis from daily contact.",,288,USCG Hazardous Chemical Data,
TRICHLORETHYLENE,"Chlorylen; Ethene, trichloro-; Ethinyl trichloride; Ethylene trichloride; Tri; Trichloroethene",1710,TCL,ClHC=CCl2,Colorless liquid; chloroform-like odor,1.47,Halogenated compound,87°C 189°F,-87°C -124°F,57.8,2.5,4.54,Negligible,None assigned.,D,Practically non-flammable,Variable at high temperatures,770,"Dry chemical, carbon dioxide, or foam","Tanks should be cooled by a water spray to prevent vaporization. Wear eye protection, self-contained breathing apparatus and protective clothing.","Although trichloroethylene does not ignite readily, it can flash under certain conditions. A high-energy ignition source is one of the necessary factors. The liquid or vapor on contact with hot metal or a flame can decompose to form phosgene, which is highly toxic.","1,1,2",50,50,50,"Headache, nausea, eye and throat irritation, drowsiness.",150 ppm for 30 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",In the presence of a strong alkali it reacts to form a gas which will ignite or explode spontaneously.,"Stabilized trichloroethylene may be used in the presence of air, water and light with any of the common construction metals at temperatures up to 248°F.",,,Group 36 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear rubber gloves, protective clothing, self-contained breathing apparatus. Avoid contact with liquid. If a spill occurs, call the National Response Center, 800-424-8802.",,Suspected carcinogen. Vapor inhalation leads to slight irritation of airway with moderate systemic effect. Prolonged or repeated skin contact may cause defatting of the skin and may produce dermatitis from daily contact.,,289,USCG Hazardous Chemical Data,
"1,2,3-TRICHLOROPROPANE",Allyl trichloride; Trichlorohydrin; Trichloropropane,,TCN,CH2ClCHClCH2Cl,Amber liquid; chloroform-like odor,1.39,Halogenated hydrocarbon,157°C 315°F,-15°C 58°F,15,0.11,5.6,<0.5%,E: Combustible liquid,D,174,3.27 to 12.6%,579,"Water fog, water blanket, CO2, foam, dry chemical",Wear self-contained breathing apparatus.,Moderate fire hazard; releases toxic HCl and other chlorides when heated.,Unavailable,5,10,10/Skin,"Skin—irritation, dermatitis, blistering. Eyes—watering, permanent injury. Inhalation—anesthesia, irritation of respiratory tract, moderate narcotic effects, drowsiness, dizziness.",,,,Get medical attention. Contact—flush eyes and skin with water. Inhalation—remove to fresh air. Ingestion—induce vomiting if conscious.,"Generally stable. Decomposes when heated, may decompose in contact with aluminum, reacts vigorously with oxidizing materials.",Swells rubber. Suitable: Steel. Unsuitable: Aluminum.,,,Group 36 of compatibility chart,"Avoid contact. Wear goggles, rubber gloves, and self-contained breathing apparatus. Absorb with sand. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable,Can cause permanent injury.,,290,USCG Hazardous Chemical Data,
TRICRESYL PHOSPHATE,"o-Cresyl phosphate; Phosphoric acid, tris(methylphenyl)ester; TCP; TOCP; Tolylphosphate; Tri-o-cresyl phosphate; Tri-o-tolyl phosphate; Tritolyl phosphate",>3% ortho: 2574,<1% ortho isomer: TCP; 1% or more ortho isomer: TCO,(CH3C6H4)3PO4,Colorless liquid; slight odor,1.17,,410°C 770°F,-32°C -25°F,V.Low,,12.7,Negligible,E: Combustible liquid,D,437,Unavailable,725,"CO2, dry chemical","Water may be ineffective on fire. Cool exposed tanks with water. Wear protective clothing, goggles or face shield and self-contained breathing apparatus.",Slight hazard when exposed to heat or flame. Will decompose at extremely high temperatures releasing toxic PO2 gases.,"1,0,4",Unavailable,Unavailable,0.01/Skin,Vapors may irritate eyes at high temperatures. Ingestion causes severe damage to central nervous system.,Unavailable,,,"Ingestion—induce vomiting and call a physician. Skin or eye contact—for eyes flush with water for 15 minutes; for skin, wash with soap and water.",Stable. Can react with oxidizing materials when heated to decomposition.,Usual materials of construction are suitable.,,,Group 34 of compatibility chart.,"Wear protective clothing, goggles or face shield. Remove ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unavailable,Vapor slight hazard due to low vapor pressure. Liquid extremely toxic when ingested.,,291,USCG Hazardous Chemical Data,
TRIDECANOL,Alcohol C-13; Isotridecanol; Isotridecyl alcohol; Oxotridecyl alcohol; 1-Tridecanol; Tridecyl alcohol,,TDN,C12H25CH2OH,Water-white liquid with pleasant alcoholic aroma,0.85,Alcohol,274°C 525°F,31°C 87°F,Low,Low,6.9,Negligible,E: Combustible liquid,D,250,Unavailable,Unavailable,"Alcohol foam, water spray, dry powder, CO2",Water or foam may cause frothing.,Slight fire hazard when exposed to heat or flame.,"0,0,0",Unavailable,Unavailable,Unavailable,Inhalation hazard is slight. Skin contact causes minor irritation. Eye contact causes severe irritation.,Unavailable,,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently wash affected areas with water.",Stable.,Aluminum unsuitable.,,,Group 20 of compatibility chart.,"Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,Possibility of some adverse effects from liquid contact with skin.,Health Hazard Ratings row was entirely blank/illegible in the source text layer for this page.,292,USCG Hazardous Chemical Data,
1-TRIDECENE,Olefin C-13; Undecylethylene,,TDC,CH3(CH2)10CH=CH2,Colorless liquid with a mild pleasant odor,0.77,Olefin,233°C 451°F,-24°C -11°F,Low,Low,,Insoluble,E: Combustible liquid,D,175,Unavailable,Unavailable,"Dry chemical, foam or CO2",Water may be ineffective on fire. Cool exposed tanks with water.,Moderate fire hazard if exposed to heat or flame.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,"Liquid may irritate the eyes. After skin or eye contact, flush with water for 15 minutes.",Stable.,Usual materials of construction are suitable.,,,Group 30 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,"Data are lacking; however, it appears that the 1-Tridecene is relatively non-hazardous.",,293,USCG Hazardous Chemical Data,
TRIETHANOLAMINE,"2,2',2""-Nitrilotriethanol; TEA; Triethylolamine; Tri(hydroxyethyl)amine; Tri(2-hydroxyethyl)amine; Trihydroxytriethylamine; Tris(hydroxyethyl)amine; Trolamine",,TEA,(HOC2H4)3N,"Colorless, oily liquid; slight ammonia-like odor",1.13,Amine,343°C 850°F,19°C 88°F,Low,Low,5.14,Complete,E: Combustible liquid,C,365,Unavailable,Unavailable,"CO2, dry chemical, alcohol foam, water fog",Keep tanks cool with a spray of water. Provide respiratory protection for fire parties.,"Slight hazard, when exposed to heat or flame. The oxidation products are poisonous.","0,1,1",Unavailable,Unavailable,Unavailable,"Itching or burning of skin at site of contact. If inhaled, the respiratory passages will be irritated.",Unavailable,,,"Wash spill from the skin with water. If liquid has splashed in the eyes, wash them with water for 15 minutes and get medical attention.",Begins to decompose at 450°F.,Copper and its alloys are corroded.,,,Group 8 of compatibility chart. See also Appendix I—Exceptions to the Chart.,"Wear butyl rubber gloves, protective clothing. Avoid contact with liquid. Cover spill with sodium bisulfate. Spray with excess water and wash up. Wash area with soap solution. If a spill occurs, call the National Response Center, 800-424-8802.","Partly to lower the high freezing point, the commercial product is a mixture of triethanolamine with up to 25% diethanolamine and 5% ethanolamine. The resulting mixture will have properties that vary somewhat from those shown. + Unassigned",Liquid causes irritation and burns to skin and eyes on contact.,,294,USCG Hazardous Chemical Data,
