49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,"Ammonium nitrate emulsion or Ammonium nitrate suspension or Ammonium nitrate gel, intermediate for blasting explosives",5.1,UN3375,II,5.1,"147, 163",None,214,214,Forbidden,Forbidden,D,"48, 59, 60, 66, 124",,
D ,Ammonium nitrate-fuel oil mixture containing only prilled ammonium nitrate and fuel oil,1.5D,NA0331,II,1.5D,,None,62,None,Forbidden,Forbidden,10,19E,,
,"Ammonium nitrate, liquid (hot concentrated solution)",5.1,UN2426,,5.1,"B5, T7",None,None,243,Forbidden,Forbidden,D,"59, 60",,
,"Ammonium nitrate, with > 0.2% combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",1.1D,UN0222,II,1.1D,,None,62,None,Forbidden,Forbidden,10,19E,,
,"Ammonium nitrate, with not > 0.2% total combustible material, including any organic substance, calculated as carbon to the exclusion of any other added substance",5.1,UN1942,III,5.1,"A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,"48, 59, 60, 116",,
,Ammonium nitrite,Forbidden,,,,,,,,,,,,,
,Ammonium perchlorate,5.1,UN1442,II,5.1,"107, A9, IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,E,"58, 69",,
,Ammonium perchlorate,1.1D,UN0402,II,1.1D,107,None,62,None,Forbidden,Forbidden,10,19E,,
,Ammonium permanganate,Forbidden,,,,,,,,,,,,,
,Ammonium persulfate,5.1,UN1444,III,5.1,"A1, A29, IB8, IP3, T1, TP33",152,213,240,25 kg,100 kg,A,,,
,"Ammonium picrate, dry or wetted with < 10% water, by mass",1.1D,UN0004,II,1.1D,,None,62,None,Forbidden,Forbidden,10,"5E, 19E",,
,"Ammonium picrate, wetted with not < 10% water, by mass",4.1,UN1310,I,4.1,"23, A2, N41",None,211,None,0.5 kg,0.5 kg,D,"28, 36",,
,"Ammonium polysulfide, solution",8,UN2818,II,"8, 6.1","IB2, T7, TP2, TP13",154,202,243,1 L,30 L,B,"12, 40, 52",,
,"Ammonium polysulfide, solution",8,UN2818,III,"8, 6.1","IB3, T4, TP1, TP13",154,203,241,5 L,60 L,B,"12, 40, 52",,
,Ammonium polyvanadate,6.1,UN2861,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,"44, 89, 100, 141",,
,"Ammonium silicofluoride, see Ammonium fluorosilicate",,,,,,,,,,,,,,
,Ammonium sulfide solution,8,UN2683,II,"8, 6.1, 3","IB1, T7, TP2, TP13",154,202,243,1 L,30 L,B,"12, 22, 52, 100",,
,"Ammunition, blank, see Cartridges for weapons, blank",,,,,,,,,,,,,,
,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.2G,UN0171,II,1.2G,,,62,None,Forbidden,Forbidden,3,,,
,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.3G,UN0254,II,1.3G,,,62,None,Forbidden,Forbidden,3,,,
,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.4G,UN0297,II,1.4G,,,62,None,Forbidden,75 kg,2,,,
,"Ammunition, incendiary liquid or gel, with burster, expelling charge or propelling charge",1.3J,UN0247,II,1.3J,,,62,None,Forbidden,Forbidden,4,23E,,
,"Ammunition, incendiary (water-activated contrivances) with burster, expelling charge or propelling charge, see Contrivances, water-activated, etc.",,,,,,,,,,,,,,
,"Ammunition, incendiary, white phosphorus, with burster, expelling charge or propelling charge",1.2H,UN0243,II,1.2H,,,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,"Ammunition, incendiary, white phosphorus, with burster, expelling charge or propelling charge",1.3H,UN0244,II,1.3H,,,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",1.2G,UN0009,II,1.2G,,,62,None,Forbidden,Forbidden,3,,,
,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",1.3G,UN0010,II,1.3G,,,62,None,Forbidden,Forbidden,3,,,
,"Ammunition, incendiary with or without burster, expelling charge or propelling charge",1.4G,UN0300,II,1.4G,,,62,None,Forbidden,75 kg,2,,,
,"Ammunition, practice",1.4G,UN0362,II,1.4G,,,62,None,Forbidden,75 kg,2,,,
,"Ammunition, practice",1.3G,UN0488,II,1.3G,,,62,None,Forbidden,Forbidden,3,,,
,"Ammunition, proof",1.4G,UN0363,II,1.4G,,,62,None,Forbidden,75 kg,2,,,
,"Ammunition, rocket, see Warheads, rocket etc",,,,,,,,,,,,,,
,"Ammunition, SA (small arms), see Cartridges for weapons, etc",,,,,,,,,,,,,,
,"Ammunition, smoke (water-activated contrivances), white phosphorus, with burster, expelling charge or propelling charge, see Contrivances, water-activated, etc. (UN 0248)",,,,,,,,,,,,,,
,"Ammunition, smoke (water-activated contrivances), without white phosphorus or phosphides, with burster, expelling charge or propelling charge, see Contrivances, water-activated, etc. (UN 0249)",,,,,,,,,,,,,,
,"Ammunition smoke, white phosphorus with burster,expelling charge, or propelling charge",1.2H,UN0245,II,1.2H,,,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,"Ammunition, smoke, white phosphorus with burster, expelling charge, or propelling charge",1.3H,UN0246,II,1.3H,,,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.2G,UN0015,II,1.2G,,,62,None,Forbidden,Forbidden,,"8E, 17E, 20E",,
,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.3G,UN0016,II,1.3G,,,62,None,Forbidden,Forbidden,,"8E, 17E, 20E",,
,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.4G,UN0303,II,1.4G,,,62,None,Forbidden,75 kg,,"7E, 8E, 14E, 15E, 17E",,
,"Ammunition, sporting, see Cartridges for weapons, etc. (UN 0012; UN 0328; UN 0339)",,,,,,,,,,,,,,
,"Ammunition, tear-producing, non-explosive, without burster or expelling charge, non-fuzed",6.1,UN2017,II,"6.1, 8",,None,212,None,Forbidden,50 kg,E,"13, 40",,
,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.2G,UN0018,II,"1.2G, 8, 6.1",,,62,None,Forbidden,Forbidden,,"8E, 17E, 20E",,
,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.3G,UN0019,II,"1.3G, 8, 6.1",,,62,None,Forbidden,Forbidden,,"8E, 17E, 20E",,
,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.4G,UN0301,II,"1.4G, 8, 6.1",,,62,None,Forbidden,75 kg,,"7E, 8E, 14E, 15E, 17E",,
,"Ammunition, toxic, non-explosive, without burster or expelling charge, non-fuzed",6.1,UN2016,II,6.1,,None,212,None,Forbidden,100 kg,E,"13, 40",,
,"Ammunition, toxic (water-activated contrivances), with burster, expelling charge or propelling charge, see Contrivances, water-activated, etc",,,,,,,,,,,,,,
G ,"Ammunition, toxic with burster, expelling charge, or propelling charge",1.2K,UN0020,II,"1.2K, 6.1",,,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
G ,"Ammunition, toxic with burster, expelling charge, or propelling charge",1.3K,UN0021,II,"1.3K, 6.1",,,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,Amyl acetates,3,UN1104,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Amyl acid phosphate,8,UN2819,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,Amylamines,3,UN1106,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,,,
,Amylamines,3,UN1106,III,"3, 8","B1, IB3, T4, TP1",150,203,242,5 L,60 L,A,,,
,Amyl butyrates,3,UN2620,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Amyl chlorides,3,UN1107,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,Amyl formates,3,UN1109,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Amyl mercaptans,3,UN1111,II,3,"A3, A6, IB2, T4, TP1",None,202,242,5 L,60 L,B,"95, 102",,
,n-Amyl methyl ketone,3,UN1110,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Amyl nitrate,3,UN1112,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,40,,
,Amyl nitrites,3,UN1113,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,E,40,,
,Amyltrichlorosilane,8,UN1728,II,8,"A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,242,Forbidden,30 L,C,40,,
,"Anhydrous ammonia, see Ammonia, anhydrous",,,,,,,,,,,,,,
,"Anhydrous hydrofluoric acid, see Hydrogen fluoride, anhydrous",,,,,,,,,,,,,,
+ ,Aniline,6.1,UN1547,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,"40, 52",,
,Aniline hydrochloride,6.1,UN1548,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Aniline oil, see Aniline",,,,,,,,,,,,,,
,Anisidines,6.1,UN2431,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,,,
,Anisole,3,UN2222,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Anisoyl chloride,8,UN1729,II,8,"B2, B4, IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,,,
,"Anti-freeze, liquid, see Flammable liquids, n.o.s.",,,,,,,,,,,,,,
,"Antimonous chloride, see Antimony trichloride",,,,,,,,,,,,,,
,"Antimony compounds, inorganic, liquid, n.o.s.",6.1,UN3141,III,6.1,"35, IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,,,
,"Antimony compounds, inorganic, solid, n.o.s.",6.1,UN1549,III,6.1,"35, IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Antimony lactate,6.1,UN1550,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Antimony pentachloride, liquid",8,UN1730,II,8,"B2, IB2, T7, TP2",None,202,242,1 L,30 L,C,40,,
,"Antimony pentachloride, solutions",8,UN1731,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,C,40,,
,"Antimony pentachloride, solutions",8,UN1731,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,C,40,,
,Antimony pentafluoride,8,UN1732,II,"8, 6.1","A3, A6, A7, A10, IB2, N3, N36, T7, TP2",None,202,243,Forbidden,30 L,D,"44, 89, 100, 141",,
,Antimony potassium tartrate,6.1,UN1551,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Antimony powder,6.1,UN2871,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Antimony sulfide and a chlorate, mixtures of",Forbidden,,,,,,,,,,,,,
,"Antimony sulfide, solid, see Antimony compounds, inorganic, n.o.s.",,,,,,,,,,,,,,
,"Antimony trichloride, liquid",8,UN1733,II,8,"B2, IB2",154,202,242,1 L,30 L,C,40,,
,"Antimony trichloride, solid",8,UN1733,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,40,,
,"Aqua ammonia, see Ammonia solution, etc",,,,,,,,,,,,,,
,"Argon, compressed",2.2,UN1006,,2.2,,306,302,"314, 315",75 kg,150 kg,A,,,
,"Argon, refrigerated liquid (cryogenic liquid)",2.2,UN1951,,2.2,"T75, TP5",320,316,318,50 kg,500 kg,B,,,
,Arsenic,6.1,UN1558,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Arsenic acid, liquid",6.1,UN1553,I,6.1,"T20, TP2, TP7, TP13",None,201,243,1 L,30 L,B,46,,
,"Arsenic acid, solid",6.1,UN1554,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Arsenical dust,6.1,UN1562,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Arsenical pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2760,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,B,40,,
,"Arsenical pesticides, liquid, flammable, toxic, flash point < 23 degrees C",3,UN2760,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,40,,
,"Arsenical pesticides, liquid, toxic",6.1,UN2994,I,6.1,"T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Arsenical pesticides, liquid, toxic",6.1,UN2994,II,6.1,"IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Arsenical pesticides, liquid, toxic",6.1,UN2994,III,6.1,"IB3, T7, TP2, TP28",153,203,241,60 L,220 L,A,40,,
,"Arsenical pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN2993,I,"6.1, 3","T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Arsenical pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN2993,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Arsenical pesticides, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN2993,III,"6.1, 3","B1, IB3, T7, TP2, TP28",153,203,242,60 L,220 L,A,40,,
,"Arsenical pesticides, solid, toxic",6.1,UN2759,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Arsenical pesticides, solid, toxic",6.1,UN2759,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Arsenical pesticides, solid, toxic",6.1,UN2759,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,Arsenic bromide,6.1,UN1555,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,"12, 40",,
,"Arsenic chloride, see Arsenic trichloride",,,,,,,,,,,,,,
,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1,UN1556,II,6.1,"IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,"40, 137",,
,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1,UN1556,III,6.1,"IB3, T7, TP2, TP28",153,203,241,60 L,220 L,B,"40, 137",,
,"Arsenic compounds, liquid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1,UN1556,I,6.1,"T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,"40, 137",,
,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1,UN1557,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,137,,
,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1,UN1557,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,137,,
,"Arsenic compounds, solid, n.o.s. inorganic, including arsenates, n.o.s.; arsenites, n.o.s.; arsenic sulfides, n.o.s.; and organic compounds of arsenic, n.o.s.",6.1,UN1557,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,137,,
,Arsenic pentoxide,6.1,UN1559,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Arsenic sulfide and a chlorate, mixtures of",Forbidden,,,,,,,,,,,,,
,Arsenic trichloride,6.1,UN1560,I,6.1,"2, B9, B14, B32, B74, T20, TP2, TP13, TP38, TP45",None,227,244,Forbidden,Forbidden,B,40,,
,Arsenic trioxide,6.1,UN1561,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Arsenic, white, solid, see Arsenic trioxide",,,,,,,,,,,,,,
,"Arsenious acid, solid, see Arsenic trioxide",,,,,,,,,,,,,,
,"Arsenious and mercuric iodide solution, see Arsenic compounds, liquid, n.o.s.",,,,,,,,,,,,,,
,Arsine,2.3,UN2188,,"2.3, 2.1",1,None,192,245,Forbidden,Forbidden,D,40,,
,"Articles, explosive, extremely insensitive or Articles, EEI",1.6N,UN0486,II,1.6N,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.1E,UN0464,II,1.1E,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.1F,UN0465,II,1.1F,,None,62,None,Forbidden,Forbidden,8,,,
G ,"Articles, explosive, n.o.s.",1.2C,UN0466,II,1.2C,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.2D,UN0467,II,1.2D,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.2E,UN0468,II,1.2E,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.4S,UN0349,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
G ,"Articles, explosive, n.o.s.",1.4B,UN0350,II,1.4B,,None,62,None,Forbidden,Forbidden,6,,,
G ,"Articles, explosive, n.o.s.",1.4C,UN0351,II,1.4C,,None,62,None,Forbidden,75 kg,6,,,
G ,"Articles, explosive, n.o.s.",1.4D,UN0352,II,1.4D,,None,62,None,Forbidden,75 kg,6,,,
G ,"Articles, explosive, n.o.s.",1.4G,UN0353,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
G ,"Articles, explosive, n.o.s.",1.1L,UN0354,II,1.1L,,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
G ,"Articles, explosive, n.o.s.",1.2L,UN0355,II,1.2L,,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
G ,"Articles, explosive, n.o.s.",1.3L,UN0356,II,1.3L,,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
G ,"Articles, explosive, n.o.s.",1.1C,UN0462,II,1.1C,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.1D,UN0463,II,1.1D,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.2F,UN0469,II,1.2F,,None,62,None,Forbidden,Forbidden,8,,,
G ,"Articles, explosive, n.o.s.",1.3C,UN0470,II,1.3C,,None,62,None,Forbidden,Forbidden,7,,,
G ,"Articles, explosive, n.o.s.",1.4E,UN0471,II,1.4E,,None,62,None,Forbidden,75 kg,6,,,
G ,"Articles, explosive, n.o.s.",1.4F,UN0472,II,1.4F,,None,62,None,Forbidden,Forbidden,8,,,
,"Articles, pressurized pneumatic or hydraulic containing non-flammable gas",2.2,UN3164,,2.2,,306,"302, 304",None,No limit,No limit,A,,,
,"Articles, pyrophoric",1.2L,UN0380,II,1.2L,,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E, 17E",,
,"Articles, pyrotechnic for technical purposes",1.1G,UN0428,II,1.1G,,None,62,None,Forbidden,Forbidden,7,,,
,"Articles, pyrotechnic for technical purposes",1.2G,UN0429,II,1.2G,,None,62,None,Forbidden,Forbidden,7,,,
,"Articles, pyrotechnic for technical purposes",1.3G,UN0430,II,1.3G,,None,62,None,Forbidden,Forbidden,7,,,
,"Articles, pyrotechnic for technical purposes",1.4G,UN0431,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,"Articles, pyrotechnic for technical purposes",1.4S,UN0432,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
D ,Asbestos,9,NA2212,III,9,"156, IB8, IP2, IP4",155,216,240,200 kg,200 kg,A,"34, 40",,
,Ascaridole (organic peroxide),Forbidden,,,,,,,,,,,,,
D ,"Asphalt, at or above its flash point",3,NA1999,III,3,"IB3, T1, TP3",150,203,247,Forbidden,Forbidden,D,,,
D ,"Asphalt, cut back, see Tars, liquid, etc",,,,,,,,,,,,,,
,"Automobile, motorcycle, tractor, other self-propelled vehicle, engine, or other mechanical apparatus, see Vehicles or Battery etc",,,,,,,,,,,,,,
A G ,"Aviation regulated liquid, n.o.s.",9,UN3334,,9,A35,155,204,,No limit,No limit,A,,,
A G ,"Aviation regulated solid, n.o.s.",9,UN3335,,9,A35,155,204,,No limit,No limit,A,,,
,Azaurolic acid (salt of) (dry),Forbidden,,,,,,,,,,,,,
,"3-Azido-1,2-Propylene glycol dinitrate",Forbidden,,,,,,,,,,,,,
,5-Azido-1-hydroxy tetrazole,Forbidden,,,,,,,,,,,,,
,Azidodithiocarbonic acid,Forbidden,,,,,,,,,,,,,
,Azidoethyl nitrate,Forbidden,,,,,,,,,,,,,
,Azido guanidine picrate (dry),Forbidden,,,,,,,,,,,,,
,Azido hydroxy tetrazole (mercury and silver salts),Forbidden,,,,,,,,,,,,,
,"1-Aziridinylphosphine oxide-(tris), see Tris-(1-aziridinyl) phosphine oxide, solution",,,,,,,,,,,,,,
,Azodicarbonamide,4.1,UN3242,II,4.1,"38, IB8, T3, TP33",151,212,240,Forbidden,Forbidden,D,"12, 52, 53, 74",,
,Azotetrazole (dry),Forbidden,,,,,,,,,,,,,
,Barium,4.3,UN1400,II,4.3,"A19, IB7, IP2, T3, TP33",151,212,241,15 kg,50 kg,E,52,,
,"Barium alloys, pyrophoric",4.2,UN1854,I,4.2,"T21, TP7, TP33",None,181,None,Forbidden,Forbidden,D,,,
,"Barium azide, dry or wetted with < 50% water, by mass",1.1A,UN0224,II,"1.1A, 6.1","111, 117",None,62,None,Forbidden,Forbidden,12,,,
,"Barium azide, wetted with not < 50% water, by mass",4.1,UN1571,I,"4.1, 6.1","162, A2",None,182,None,Forbidden,0.5 kg,D,28,,
,Barium bromate,5.1,UN2719,II,"5.1, 6.1","IB8, IP2, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,"Barium chlorate, solid",5.1,UN1445,II,"5.1, 6.1","A9, IB6, IP2, N34, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,"Barium chlorate, solution",5.1,UN3405,II,"5.1, 6.1","A9, IB2, N34, T4, TP1",152,202,243,1 L,5 L,A,"56, 58, 133",,
,"Barium chlorate, solution",5.1,UN3405,III,"5.1, 6.1","A9, IB2, N34, T4, TP1",152,203,242,2.5 L,30 L,A,"56, 58, 133",,
,"Barium compounds, n.o.s.",6.1,UN1564,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Barium compounds, n.o.s.",6.1,UN1564,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,Barium cyanide,6.1,UN1565,I,6.1,"IB7, IP1, N74, N75, T6, TP33",None,211,242,5 kg,50 kg,A,"40, 52",,
,Barium hypochlorite with > 22% available chlorine,5.1,UN2741,II,"5.1, 6.1","A7, A9, IB8, IP2, IP4, N34, T3, TP33",152,212,None,5 kg,25 kg,B,"4, 52, 56, 58, 106",,
,Barium nitrate,5.1,UN1446,II,"5.1, 6.1","IB8, IP2, IP4, T3, TP33",152,212,242,5 kg,25 kg,A,,,
,Barium oxide,6.1,UN1884,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Barium perchlorate, solid",5.1,UN1447,II,"5.1, 6.1","IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"56, 58",,
,"Barium perchlorate, solution",5.1,UN3406,II,"5.1, 6.1","IB2, T4, TP1",152,202,243,1 L,5 L,A,"56, 58, 133",,
,"Barium perchlorate, solution",5.1,UN3406,III,"5.1, 6.1","IB2, T4, TP1",152,203,242,2.5 L,30 L,A,"56, 58, 133",,
,Barium permanganate,5.1,UN1448,II,"5.1, 6.1","IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,D,"56, 58, 138",,
,Barium peroxide,5.1,UN1449,II,"5.1, 6.1","A9, IB6, IP2, T3, TP33",152,212,242,5 kg,25 kg,A,"13, 52, 56, 75",,
,"Barium selenate, see Selenates or Selenites",,,,,,,,,,,,,,
,"Barium selenite, see Selenates or Selenites",,,,,,,,,,,,,,
,"Batteries, containing sodium",4.3,UN3292,II,4.3,,189,189,189,Forbidden,No limit,A,,,
,"Batteries, dry, containing potassium hydroxide solid, electric, storage",8,UN3028,III,8,,None,213,None,25 kg gross,230 kg gross,A,52,,
,"Batteries, dry, not subject to the requirements of this subchapter",,,,,130,,,,,,,,,
,"Batteries, wet, filled with acid, electric storage",8,UN2794,III,8,,159,159,159,30 kg gross,No limit,A,,,
,"Batteries, wet, filled with alkali, electric storage",8,UN2795,III,8,,159,159,159,30 kg gross,No limit,A,52,,
,"Batteries, wet, non-spillable, electric storage",8,UN2800,III,8,,159,159,159,No Limit,No Limit,A,,,
,"Battery fluid, acid",8,UN2796,II,8,"A3, A7, B2, B15, IB2, N6, N34, T8, TP2, TP12",154,202,242,1 L,30 L,B,,,
,"Battery fluid, alkali",8,UN2797,II,8,"B2, IB2, N6, T7, TP2, TP28",154,202,242,1 L,30 L,A,"29, 52",,
,"Battery lithium type, see Lithium batteries etc",,,,,,,,,,,,,,
,Battery-powered vehicle or Battery-powered equipment,9,UN3171,,9,134,220,220,None,No limit,No limit,,,,
,"Battery, wet, filled with acid or alkali with vehicle or mechanical equipment containing an internal combustion engine, see Vehicle, etc. or Engines, internal combustion, etc",,,,,,,,,,,,,,
+ ,Benzaldehyde,9,UN1990,III,9,"IB3, T2, TP1",155,203,241,100 L,220 L,A,,,
,Benzene,3,UN1114,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,Benzene diazonium chloride (dry),Forbidden,,,,,,,,,,,,,
,Benzene diazonium nitrate (dry),Forbidden,,,,,,,,,,,,,
,"Benzene phosphorus dichloride, see Phenyl phosphorus dichloride",,,,,,,,,,,,,,
,"Benzene phosphorus thiodichloride, see Phenyl phosphorus thiodichloride",,,,,,,,,,,,,,
,Benzene sulfonyl chloride,8,UN2225,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,40,,
,"Benzenethiol, see Phenyl mercaptan",,,,,,,,,,,,,,
,Benzene triozonide,Forbidden,,,,,,,,,,,,,
,Benzidine,6.1,UN1885,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,"Benzol, see Benzene",,,,,,,,,,,,,,
,Benzonitrile,6.1,UN2224,II,6.1,"IB2, T7, TP2",153,202,243,5 L,60 L,A,"40, 52",,
,Benzoquinone,6.1,UN2587,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Benzotrichloride,8,UN2226,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,A,40,,
,Benzotrifluoride,3,UN2338,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,40,,
,Benzoxidiazoles (dry),Forbidden,,,,,,,,,,,,,
,Benzoyl azide,Forbidden,,,,,,,,,,,,,
,Benzoyl chloride,8,UN1736,II,8,"B2, IB2, T8, TP2, TP12, TP13",154,202,242,1 L,30 L,C,40,,
,Benzyl bromide,6.1,UN1737,II,"6.1, 8","A3, A7, IB2, N33, N34, T8, TP2, TP12, TP13",None,202,243,1 L,30 L,D,"13, 40",,
